AA_SN_X,AA_SN_Y,AA_SN_Z,GH_AA_X,GH_AA_Y,GH_AA_Z,GH_SN_X,GH_SN_Y,GH_SN_Z
41.72,7.21,42.3,52.53,41.03,61.2,10.92,47.91,48.75
41.69,7.23,42.27,52.49,41.0,61.16,10.92,47.9,48.74
41.77,7.18,42.34,52.54,41.04,61.19,10.88,47.89,48.72
41.73,7.21,42.31,52.53,41.03,61.18,10.9,47.91,48.75
41.75,7.22,42.33,52.53,41.03,61.19,10.88,47.92,48.75
41.69,7.28,42.29,52.49,40.96,61.05,10.91,47.89,48.72
41.69,7.28,42.28,52.57,40.97,61.19,10.99,47.9,48.77
41.79,7.22,42.36,52.62,41.03,61.31,10.93,47.93,48.79
41.76,7.22,42.33,52.64,40.99,61.27,10.99,47.88,48.74
41.79,7.18,42.36,52.62,41.05,61.25,10.94,47.89,48.73
41.66,7.28,42.24,52.5,40.93,61.18,10.96,47.89,48.75
41.74,7.22,42.32,52.57,41.0,61.24,10.93,47.89,48.74
41.73,7.2,42.31,52.52,41.0,61.15,10.9,47.85,48.69
41.71,7.22,42.29,52.5,40.97,61.14,10.9,47.85,48.69
41.73,7.2,42.3,52.47,40.99,61.12,10.85,47.85,48.68
41.75,7.23,42.33,52.43,40.98,61.05,10.8,47.87,48.68
41.74,7.23,42.32,52.42,40.96,61.03,10.8,47.85,48.66
41.75,7.23,42.33,52.41,40.97,61.02,10.79,47.86,48.66
41.75,7.24,42.33,52.38,40.95,60.98,10.75,47.85,48.65
41.93,7.24,42.52,52.55,40.98,61.06,10.73,47.86,48.65
41.69,7.23,42.26,52.34,40.92,61.02,10.78,47.84,48.65
41.74,7.24,42.32,52.34,40.93,60.95,10.72,47.83,48.62
41.96,7.25,42.56,52.6,40.93,61.06,10.75,47.8,48.61
41.76,7.22,42.34,52.43,40.91,61.03,10.79,47.79,48.61
41.67,7.15,42.23,52.39,40.9,61.02,10.86,47.75,48.55
41.6,7.26,42.18,52.31,40.81,60.89,10.85,47.76,48.56
41.96,7.33,42.56,52.62,40.81,61.01,10.78,47.77,48.57
41.62,7.24,42.19,52.34,40.81,60.95,10.85,47.76,48.56
41.63,7.34,42.23,52.32,40.74,60.88,10.81,47.75,48.57
41.65,7.4,42.26,52.37,40.7,60.92,10.83,47.77,48.6
41.63,7.52,42.26,52.3,40.62,60.83,10.77,47.78,48.62
41.64,7.51,42.27,52.33,40.62,60.86,10.79,47.79,48.62
41.63,7.52,42.26,52.39,40.6,60.86,10.87,47.77,48.61
41.68,7.54,42.32,52.44,40.58,60.83,10.87,47.74,48.58
41.67,7.52,42.31,52.4,40.57,60.79,10.85,47.7,48.53
41.75,7.49,42.39,52.34,40.67,60.82,10.7,47.77,48.59
41.76,7.5,42.4,52.38,40.67,60.82,10.72,47.76,48.59
41.68,7.61,42.35,52.29,40.57,60.68,10.71,47.76,48.59
41.73,7.65,42.41,52.36,40.53,60.64,10.74,47.72,48.55
41.82,7.63,42.5,52.43,40.62,60.7,10.71,47.78,48.61
41.77,7.65,42.45,52.4,40.63,60.76,10.71,47.82,48.66
41.77,7.65,42.45,52.37,40.62,60.7,10.7,47.81,48.64
41.76,7.62,42.43,52.38,40.63,60.75,10.72,47.8,48.63
41.77,7.64,42.45,52.33,40.62,60.66,10.66,47.8,48.62
41.77,7.63,42.45,52.34,40.64,60.69,10.67,47.81,48.63
41.76,7.56,42.42,52.31,40.64,60.64,10.67,47.78,48.56
41.74,7.58,42.4,52.33,40.64,60.64,10.71,47.79,48.58
41.73,7.55,42.39,52.32,40.65,60.66,10.71,47.79,48.58
41.66,7.51,42.3,52.32,40.65,60.65,10.8,47.76,48.55
41.71,7.57,42.37,52.32,40.62,60.63,10.73,47.77,48.57
41.73,7.58,42.39,52.33,40.61,60.64,10.72,47.78,48.57
41.88,7.44,42.5,52.49,40.75,60.85,10.73,47.79,48.58
41.91,7.38,42.52,52.5,40.76,60.88,10.72,47.77,48.55
41.91,7.45,42.54,52.5,40.75,60.86,10.71,47.8,48.59
41.72,7.6,42.39,52.37,40.6,60.68,10.76,47.79,48.6
41.9,7.42,42.52,52.5,40.76,60.86,10.72,47.79,48.58
41.72,7.59,42.39,52.39,40.6,60.71,10.79,47.77,48.59
41.75,7.64,42.41,52.36,40.59,60.68,10.74,47.81,48.62
41.91,7.45,42.54,52.53,40.75,60.91,10.74,47.8,48.61
41.85,7.52,42.49,52.5,40.66,60.88,10.77,47.8,48.61
41.91,7.48,42.54,52.52,40.71,60.87,10.73,47.79,48.59
41.92,7.48,42.55,52.54,40.73,60.92,10.74,47.82,48.63
41.91,7.5,42.55,52.54,40.71,60.88,10.74,47.8,48.61
41.84,7.46,42.46,52.55,40.7,60.9,10.84,47.78,48.59
41.77,7.49,42.4,52.54,40.63,60.91,10.89,47.76,48.58
41.77,7.48,42.4,52.56,40.66,60.94,10.9,47.77,48.61
41.78,7.42,42.39,52.55,40.69,60.97,10.89,47.75,48.58
41.77,7.45,42.38,52.49,40.65,60.91,10.85,47.76,48.57
41.74,7.5,42.37,52.4,40.55,60.69,10.81,47.68,48.47
41.75,7.47,42.37,52.49,40.61,60.9,10.87,47.74,48.56
41.79,7.44,42.4,52.59,40.66,61.04,10.92,47.76,48.6
41.76,7.47,42.38,52.53,40.62,60.96,10.89,47.75,48.58
41.79,7.42,42.4,52.5,40.68,60.94,10.84,47.76,48.57
41.76,7.45,42.38,52.56,40.66,60.99,10.91,47.75,48.59
41.76,7.43,42.37,52.52,40.65,60.96,10.88,47.73,48.57
41.8,7.37,42.4,52.56,40.7,61.02,10.88,47.73,48.56
41.74,7.39,42.34,52.5,40.67,60.99,10.88,47.75,48.57
41.76,7.42,42.36,52.46,40.65,60.93,10.83,47.76,48.56
41.74,7.39,42.34,52.43,40.64,60.9,10.82,47.71,48.51
41.72,7.49,42.34,52.47,40.6,60.94,10.87,47.76,48.59
41.7,7.43,42.31,52.45,40.62,60.92,10.87,47.72,48.55
41.72,7.43,42.32,52.44,40.62,60.92,10.85,47.72,48.55
41.76,7.41,42.36,52.47,40.64,60.95,10.83,47.73,48.55
41.76,7.42,42.36,52.42,40.62,60.88,10.8,47.72,48.52
41.75,7.4,42.35,52.39,40.65,60.85,10.78,47.73,48.52
41.73,7.42,42.34,52.35,40.61,60.77,10.76,47.71,48.48
41.7,7.46,42.31,52.35,40.59,60.83,10.78,47.73,48.53
41.75,7.44,42.36,52.41,40.62,60.86,10.79,47.74,48.54
41.69,7.51,42.3,52.31,40.53,60.75,10.76,47.72,48.51
41.68,7.52,42.29,52.35,40.54,60.81,10.81,47.75,48.56
41.67,7.48,42.28,52.36,40.56,60.83,10.82,47.73,48.54
41.71,7.47,42.32,52.41,40.6,60.95,10.82,47.77,48.59
41.68,7.51,42.29,52.41,40.55,60.91,10.86,47.76,48.58
41.65,7.45,42.25,52.37,40.61,60.91,10.85,47.76,48.58
41.64,7.49,42.25,52.36,40.58,60.91,10.85,47.77,48.6
41.66,7.47,42.27,52.4,40.61,60.92,10.86,47.77,48.6
41.72,7.52,42.34,52.2,40.59,60.6,10.64,47.77,48.52
41.87,7.53,42.5,52.52,40.62,60.94,10.77,47.8,48.61
41.5,7.63,42.13,52.33,40.47,60.85,10.95,47.79,48.64
41.79,7.57,42.42,52.56,40.57,61.05,10.88,47.8,48.67
41.77,7.57,42.4,52.56,40.57,61.05,10.89,47.81,48.67
41.56,7.69,42.21,52.32,40.49,60.85,10.87,47.85,48.71
41.71,7.53,42.34,52.46,40.65,60.96,10.86,47.84,48.68
41.48,7.64,42.14,52.23,40.55,60.76,10.86,47.85,48.7
41.48,7.58,42.12,52.07,40.61,60.57,10.74,47.85,48.63
41.43,7.67,42.08,51.95,40.53,60.42,10.68,47.86,48.62
41.41,7.68,42.06,52.16,40.56,60.68,10.88,47.89,48.72
41.42,7.65,42.07,51.92,40.59,60.39,10.65,47.89,48.64
41.35,7.67,42.01,51.97,40.56,60.44,10.78,47.89,48.66
41.31,7.63,41.95,51.89,40.57,60.42,10.74,47.89,48.65
41.29,7.62,41.93,52.03,40.62,60.75,10.85,47.94,48.78
41.21,7.63,41.84,51.92,40.58,60.7,10.82,47.94,48.77
41.38,7.59,41.98,52.01,40.64,60.72,10.79,47.99,48.76
41.53,7.6,42.14,52.2,40.64,60.78,10.83,47.97,48.75
41.6,7.59,42.21,52.32,40.65,60.91,10.86,47.97,48.77
41.47,7.6,42.08,52.19,40.65,60.87,10.87,47.99,48.8
41.6,7.68,42.25,52.24,40.65,60.79,10.76,47.99,48.81
41.61,7.63,42.24,52.26,40.71,60.88,10.78,48.03,48.84
41.59,7.59,42.21,52.16,40.74,60.81,10.71,48.03,48.81
41.74,7.66,42.39,52.3,40.72,60.78,10.7,48.04,48.82
